date,all_adv,all_dec,all_unch,all_nh,all_nl,all_nhl_n,all_ma20,all_ma50,all_ma200,all_upvol,all_dnvol,all_amt,all_turnover,kospi_adv,kospi_dec,kospi_unch,kospi_nh,kospi_nl,kospi_nhl_n,kospi_ma20,kospi_ma50,kospi_ma200,kospi_upvol,kospi_dnvol,kospi_amt,kospi_turnover,kosdaq_adv,kosdaq_dec,kosdaq_unch,kosdaq_nh,kosdaq_nl,kosdaq_nhl_n,kosdaq_ma20,kosdaq_ma50,kosdaq_ma200,kosdaq_upvol,kosdaq_dnvol,kosdaq_amt,kosdaq_turnover,top10_share,penny_share,top50_penny,cap_up,cap_down,kospi_close,kosdaq_close,vkospi,usdkrw,putcall,ew_close,ew_mom
2026-06-23,141,2405,132,47,1072,2609,6.9133,5.0543,15.1065,2.118,63.7809,66.0453,0.9112,45,856,41,12,331,933,6.5817,5.9448,18.8235,1.0247,56.7721,57.8161,0.8571,96,1549,91,35,741,1676,7.0934,4.5691,13.0538,1.0933,7.0088,8.2292,1.6373,67.1535,0.3645,0,12,1,8203.84,891.52,89.41,1535.25,6.885,18243.0,-1.9331
2026-06-24,1379,1107,192,45,588,2610,9.1555,5.9903,15.9056,47.9453,14.7666,62.9091,0.841,513,367,62,12,159,933,9.5541,6.7941,19.1444,43.6398,12.1172,55.8939,0.8022,866,740,130,33,429,1677,8.9389,5.5523,14.117,4.3055,2.6494,7.0152,1.3675,71.4387,0.3096,0,18,1,8471.02,909.31,94.81,1542.76,4.331,18427.0,-1.0746
2026-06-25,670,1834,174,47,814,2610,9.5665,5.3538,14.6119,48.0339,10.5632,58.8901,0.7496,290,587,65,13,235,933,11.1465,6.7941,18.5027,45.5707,6.4294,52.0758,0.708,380,1247,109,34,579,1677,8.7082,4.5691,12.4631,2.4631,4.1337,6.8144,1.3603,70.8292,0.3729,0,11,8,8930.3,887.81,95.09,1546.48,8.52,18382.0,-1.4423
2026-06-26,309,2218,151,50,1141,2610,7.997,4.7173,12.7854,3.5066,57.9835,61.6901,0.8328,110,779,53,12,359,933,8.5987,6.5817,16.6845,1.1,52.4842,53.6104,0.774,199,1439,98,38,782,1677,7.6701,3.7016,10.632,2.4067,5.4993,8.0796,1.6818,67.6976,0.5039,0,11,4,8411.21,851.37,92.71,,4.693,17592.0,-5.776
2026-06-29,2327,227,124,49,118,2610,17.6009,6.9262,16.6667,18.8958,31.4788,50.8879,0.6854,817,89,36,11,34,933,19.8514,8.4926,20.9626,12.9491,30.0449,43.0655,0.6237,1510,138,88,38,84,1677,16.3783,6.0729,14.2942,5.9467,1.434,7.8224,1.5065,62.7722,0.6415,0,20,1,8394.65,920.57,96.94,1541.73,3.716,18755.0,0.3003
2026-06-30,939,1571,169,56,138,2610,17.8625,7.7125,16.5145,39.3313,9.941,49.7268,0.664,263,621,58,13,44,933,18.3652,9.3418,20.4278,34.7828,7.196,42.2547,0.6061,676,950,111,43,94,1677,17.5894,6.8248,14.3532,4.5485,2.745,7.4721,1.4456,64.261,0.3914,0,16,0,8476.48,916.18,93.8,1548.61,4.583,18506.0,-1.1606
2026-07-01,1873,644,163,65,112,2610,26.9058,9.2849,18.8737,21.6984,28.6243,51.2379,0.697,700,194,48,15,31,933,28.4501,11.3588,23.2086,15.6504,24.0964,39.8633,0.5839,1173,450,115,50,81,1677,26.0669,8.155,16.4796,6.048,4.528,11.3746,2.169,57.958,0.3646,0,28,2,8303.41,929.35,88.67,1551.8101,3.454,18730.0,-0.1076
2026-07-02,586,1934,161,47,185,2610,22.272,8.5736,15.9056,6.2235,49.4509,55.8031,0.8236,278,617,47,13,43,933,26.327,10.5096,21.4973,5.3088,42.7306,48.1211,0.7655,308,1317,114,34,142,1677,20.0692,7.5188,12.8175,0.9148,6.7203,7.682,1.5705,63.4868,0.3918,0,12,4,7648.09,866.72,86.41,1542.13,1.821,18775.0,-0.0146
2026-07-03,1658,839,184,48,119,2610,27.3067,9.1726,16.6286,45.9961,8.2867,54.4841,0.7624,589,296,57,12,29,933,32.4841,11.6773,22.6738,41.9935,5.3476,47.5246,0.714,1069,543,127,36,90,1677,24.4957,7.808,13.29,4.0026,2.9391,6.9595,1.4193,67.6363,0.5824,1,10,1,8088.34,868.41,89.29,,1.627,18834.0,0.1456
2026-07-06,1126,1368,187,52,123,2610,29.4359,10.5204,16.2481,15.4712,21.5162,37.6254,0.5294,462,413,67,16,30,933,38.535,14.2251,23.6364,14.044,17.7776,31.8645,0.4807,664,955,120,36,93,1677,24.4957,8.502,12.1677,1.4272,3.7386,5.7609,1.204,61.9629,0.7829,0,14,0,8051.33,847.07,86.86,1528.76,2.281,18621.0,-1.129
